Price,Name,Equipment
4031,La Cote Turquoise : Bodrum– Marmaris -Fethiye - Pamukkale,"- Hotel 3* au coeur du centre ville de Bodrum 
- Hôtel à 750 mètres de la plage 
- Découverte de lieux incontournables
- à 5 min a pied de nombreux sites d'interêt populaires"
4472,La Côte Egéenne :Kusadasi - Izmir - Alaçati - Urla - Bodrum,"- Confort en hôtel 5*
- Hôtel en bord de plage
- La formule ultra-all inclusive
- Découverte de lieux incontournables"
5031,Les Merveilles de la Cote Turquoise : Bodrum - Marmaris -Fethiya - Göcek,"- Hotel 4* familiale avec Toboggan 
- Hôtel à 100 mètres de la plage de sable
- Découverte de lieux incontournables"
4458,Feel The world : Marmaris - Fethiya - Bodrum,- Hotel 4* familiale avec Toboggan 
2894,Bodrum à prix Imbattable,- Hôtel à 
4313,Combiné Bodrum /Istanbul,100 mètres de la plage de sable
5249,Bodrum au Bord de la Mer,- Découverte de lieux incontournables
